CourseCode,Semester,CourseName,StudyLevel
DEA1-04-17,1,Elektroenergetski transformatori,Sveu?ilišni diplomski studij Elektrotehnike
DEA1-05,1,Ekonomika i tržište elektri?ne energije,Sveu?ilišni diplomski studij Elektrotehnike
DEAB1-02,1,Analiza elektroenergetskog sustava,Sveu?ilišni diplomski studij Elektrotehnike
DEAB1C3-03,1,Elektroenergetska postrojenja,Sveu?ilišni diplomski studij Elektrotehnike
DE2-01,2,Elektrane,Sveu?ilišni diplomski studij Elektrotehnike
DEA2-03,2,Stabilnost i prijalzni procesi u elektroenergetskom sustavu,Sveu?ilišni diplomski studij Elektrotehnike
DEA2-04,2,Sklopni aparati i visokonaponska tehnika,Sveu?ilišni diplomski studij Elektrotehnike
DEA2-05,2,Kvaliteta i pouzdanost u elektroenergetskom sustavu,Sveu?ilišni diplomski studij Elektrotehnike
DEAB2-02,2,Prijenos i distribucija elektri?ne energije,Sveu?ilišni diplomski studij Elektrotehnike
DE3-01,3,Zaštita u elektroenergetskom sustavu,Sveu?ilišni diplomski studij Elektrotehnike
DEA3-03,3,Koordinacija zaštete aktivnih elektroenergestkih mreža,Sveu?ilišni diplomski studij Elektrotehnike
DEAB3-02,3,Vo?enje elektroenergetskog sustava,Sveu?ilišni diplomski studij Elektrotehnike
DEB1-04,1,Energetska u?inkovitost,Sveu?ilišni diplomski studij Elektrotehnike
DEB1-06-17,1,Energetska u?inkovitost elektri?nih sustava,Sveu?ilišni diplomski studij Elektrotehnike
DAEBC2-04,2,Primijenjena energetska elektronika,Sveu?ilišni diplomski studij Elektrotehnike
DEB2-05,2,Obnovljivi izvori elektri?ne energije,Sveu?ilišni diplomski studij Elektrotehnike
DEBC2-03,2,"Projektiranje elektri?nih instalacija, rasvjete i postrojenja",Sveu?ilišni diplomski studij Elektrotehnike
DEB3-03,3,Integracija OIE i napredne mreže,Sveu?ilišni diplomski studij Elektrotehnike
DEC1-02,1,Primijenjeni elektromagnetizam u elektroenergetici,Sveu?ilišni diplomski studij Elektrotehnike
DEC1-04,1,Elektromagnetska kompatibilnost,Sveu?ilišni diplomski studij Elektrotehnike
